"web-scraper-order","name_ja","company_games","company_description","company_descr_country","company_descr_city","url","top_level_domain","tld_country","link_geoip"
"1522049599-2531","ミスリルソフトウェア",,,,,"http://www.mithril-software.jp/","jp","Japan","JP"
"1522049479-2222","(株)アルティ",,,,,"http://www.althi.co.jp/","jp","Japan","JP"
"1522049599-2478",,,,,,,,,
"1522049539-2428","RED-ZONE",,,,,"http://rzone.jp/","jp","Japan","JP"
"1522049599-2465",,,,,,,,,
"1522049479-2226","リューノス",,,,,"http://www.arkham-products.jp/products.html","jp","Japan","N/A"
"1522049599-2578","MOSAIC(モザイク)",,,,,"http://www.hue.co.jp/","jp","Japan","N/A"
"1522049539-2336",,,,,,,,,
"1522049479-2239","Lurid(ルアリッド)",,,,,"http://www.lurid.jp/","jp","Japan","JP"
"1522049599-2570","めるてぃ",,,,,"http://melty-plus.com/","com",,"NL"
"1522049539-2381","liquid-touchable",,,,,"http://liquid.nexton-net.jp/","jp","Japan","JP"
"1522049539-2397","LiLiM DARKNESS",,,,,"http://s-digi.jp/lilim/","jp","Japan","JP"
"1522049479-2174","Lime(ライム)",,,,,"http://www.project-lime.com/","com",,"JP"
"1522049539-2423","レインボー・ジャパン",,,,,"http://www.rainbow.co.jp/","jp","Japan","JP"
"1522049599-2453",,,,,,,,,
"1522049479-2242","ルナソフト",,,,,"http://lunasoft.jp/","jp","Japan","JP"
"1522049479-2139",,,,,,,,,
"1522049599-2486",,,,,,,,,
"1522049479-2277","LOST SCRIPT(ロストスクリプト)",,,,,"http://www.lostscript.jp/","jp","Japan","JP"
"1522049539-2437","Rose Liese(ローズリーゼ)",,,,,"http://www.roseliese.com/","com",,"US"
"1522049479-2185","ラディ",,,,,"http://radi.product.co.jp/","jp","Japan","JP"
"1522049539-2373","REAL",,,,,"http://www.itazura.biz/","biz",,"JP"
"1522049539-2283",,,,,,,,,
"1522049479-2137",,,,,,,,,
"1522049539-2305",,,,,,,,,
"1522049479-2117",,,,,,,,,
"1522049599-2584","桃雛",,,,,"http://www.hina-soft.com/","com",,"N/A"
"1522049539-2383","オカリナ",,,,,"http://www.ktfactory.tv/","tv","Tuvalu","JP"
"1522049599-2471",,,,,,,,,
