"web-scraper-order","name_ja","company_games","company_description","address","company_descr_country","company_descr_city","url","top_level_domain","tld_country","link_geoip"
,"ケー・ティ・ファクトリー"," (W98)　Ｄ ～その景色の向こう側～",,"〒160-0022　東京都新宿区新宿5-13-5　シーダァービル３Ｆ　　03(3355)7991","[]","[]","http://www.ktfactory.co.jp/","jp","Japan","JP"
,"ゲームアーツ"," (PS.PS2.DC)　グランディア",,"〒171-0022　東京都豊島区南池袋2-9-9　第一池袋ホワイトビル７Ｆ　　03(3984)1136","[]","[]","http://www.gamearts.co.jp/","jp","Japan","JP"
,"ゲームスタジオ"," (N64.GB.ETC)　エアーズアドベンチャー",,"〒150-0001　東京都渋谷区神宮前6-12-23　原宿山田ビル７Ｆ　　03(3498)8491","[]","[]","http://www.gamestudio.co.jp/","jp","Japan","JP"
,"ゲームフリーク"," (PS.GB)　ポケットモンスター",,"〒155-0031　東京都世田谷区北沢1-40-6　カシワサード５Ｆ　　03(3467)4387","[]","[]","http://www.gamefreak.co.jp/","jp","Japan","JP"
,"Ｋ＆Ｍセイルネットワーク"," (W98)　ＲａｉｎｙＢｌｕｅ ～６月の雨～",,"〒600-8029 京都市下京区寺町通五条上ル西橋詰町775-1 京商五条ビル２Ｆ　","[]","[]","http://web.kyoto-inet.or.jp/org/ran_soft/","jp","Japan","JP"
,"ケイエスエス"," 　075(365)3368 　　　　　　　 (PS.GB.W98)　無人島物語",,"〒141-0031　東京都品川区西五反田1-21-8　　03(5434)5111","[]","[]","http://www.kss-inc.co.jp/","jp","Japan","N/A"
,"ゲイトワークス"," (W98)　幻死狩り",,"〒171-0014　東京都豊島区池袋3-54-7　ＦＭ-７ビル１Ｆ　　03-5957-3866","[]","[]","http://www.gateworks.co.jp/pias/","jp","Japan","N/A"
,"ケイブ"," (PS.AC)　峠ＭＡＸ２",,"〒162-0833　東京都新宿区箪笥町13　グローバル新神楽坂　　03(5261)4561","[]","[]","http://www.cave.co.jp/","jp","Japan","JP"
,"戯作座"," (W98)　ＩＮＧ",,"〒150-0002　東京都渋谷区渋谷2-19-20　宮益坂岡ビル９Ｆ　　03(5485)1223","[]","[]","http://www.gesakuza.co.jp/","jp","Japan","JP"
,"ゲットアイン"," (W98)　紅涙",,"〒556-0006　大阪市浪速区日本橋東3-3-28　　06(6630)5863","[]","[]","http://www.get-ain.co.jp/","jp","Japan","N/A"
,"ケロＱ"," (W98)　終の空",,"〒292-0082　千葉市花見川区検見川町3-417　　043(298)4678","[]","[]","http://www.ax.sakura.ne.jp/~keroq/ ","jp","Japan","JP"
,"元気"," (PS.PS2.DC.N64.W98)　首都高バトル",,"〒169-0072　東京都新宿区大久保2-4-12　新宿ラムダックスビル５Ｆ　　03(3200)4771","[]","[]","http://www.genki.co.jp/","jp","Japan","JP"
,"コーエー"," (PS.PS2.DC.N64.GB.W98.ETC)　信長の野望",,"〒223-8503　神奈川県横浜市港北区箕輪町1-18-12　　045(564)3111","[]","[]","http://www.koei.co.jp/","jp","Japan","JP"
,"工画堂スタジオ"," (PS.W98)　火星計画２",,"〒166-0002　東京都杉並区阿佐ヶ谷北2-3-16　吉川ビル　　03(5373)0195","[]","[]","http://www.kogado.com/","com",,"JP"
,"ココナッツジャパンエンターテイメント"," (PS.N64.GB.W98)　パチ夫くん",,"〒150-0001　東京都渋谷区神宮前5-46-4　９５ル・パラココナッツビル　　03(3486)8000","[]","[]","http://www.coconuts.co.jp/","jp","Japan","JP"
,"コスモスコンピュータ"," (W98)　レジオナル・パワー",,"〒332-0034　埼玉県川口市並木2-34-2　　048(258)4041","[]","[]","http://www.cosmos.co.jp/cosmos/","jp","Japan","N/A"
,"コト"," (ETC)　ＧＵＮＰＥＹ",,"〒604-8185　京都市中京区車屋町通二条下ル　　075(212)0321","[]","[]","http://www.koto.co.jp/","jp","Japan","JP"
,"コトブキシステム"," (N64.GB)　トップギア",,"〒737-0045　広島県呉市本通2-6-3　呉商工会議所ビル５Ｆ　　0823(21)3300","[]","[]","http://www.enjoy.ne.jp/~k-kemco/","jp","Japan","JP"
,"コナミ"," (PS.PS2.DC.N64.GB.W98.AC)　ときめきメモリアル",,"〒105-0001　東京都港区虎ノ門4-3-1　　03(3432)5678","[]","[]","http://www.konami.co.jp/","jp","Japan","JP"
,"ゴンゾ"," (PS.DC.W98)　ゲートキーパーズ",,"〒167-0033　東京都杉並区清水1-8-4　タガミサンビューティービル３Ｆ　　03(5347)0380","[]","[]","http://www.gonzo.co.jp/","jp","Japan","JP"
,"コンテンツ"," (PS.PS2)　<br>",,"〒101-0044　東京都千代田区鍛冶町2-2-3　第3櫻井ビル4F　03(3253)0801<br><br>","[]","[]","http://www.con102.co.jp/","jp","Japan","N/A"
,"ゴンドラ"," (W98)　誘拐　～令嬢調教～　　",,"〒194-0045　東京都町田市南成瀬1-2-2　ＭＳセンタービル４Ｆ","[]","[]","http://home.catv.ne.jp/dd/gondla/main.html","jp","Japan","JP"
,"コンパイル"," (PS.PS2.DC.N64.GB.W98.AC.ETC)　ぷよぷよ",,"〒359-1141　埼玉県所沢市小手指町1-21-13-煉瓦館109-B1F　　042(920)2280","[]","[]","http://www.compile.co.jp/","jp","Japan","JP"
,"サーカス"," <b><font size=""+2""><a name=""s"">サ</a> </font></b> (W98)　Ａｒｉｅｓ",,"〒346-0016 埼玉県久喜市東6-2-21-103","[]","[]","http://www.nandemo.gr.jp/~circus/","jp","Japan","JP"
,"ＳＵＲＧＥ　ＳＰＡＣＥ",,,"〒115-0055　東京都北区赤羽西1-33-3-1903<br><br>","[]","[]","http://www.surgespace.com/","com",,"JP"
,"サイオ"," (W98.ETC)　ギャルパニⅡ",,"〒105-0014　東京都港区芝3-24-3　サントラビル４Ｆ　　03(5443)4501","[]","[]","http://www.scio.co.jp/","jp","Japan","JP"
,"サイク"," <br><br> (W98)　神愛",,"〒810-0073　福岡市中央区舞鶴1-6-1 ラフォーレ舞鶴402号　　092(737)7173","[]","[]","http://www.cyc-soft.co.jp/","jp","Japan","N/A"
,"サイク・ロゼ"," (W98)　薔薇ノ木ニ薔薇ノ花咲ク",,"〒810-0073　福岡市中央区舞鶴1-6-1 ラフォーレ舞鶴402号　　092(737)7173","[]","[]","http://rose.cyc-soft.jp/","jp","Japan","JP"
,"彩京"," (PS.DC.AC.ETC)　ガンバード",,"〒164-0011　東京都中野区中央5-8-5　オースミビル２Ｆ　　03(5340)8768","[]","[]","http://www.psikyo.co.jp/","jp","Japan","N/A"
,"サイバーワークス"," <br><br> 福岡県福岡市博多区博多駅東１丁目１番３３号　はかた近代ビル５階 (W98)　ソーサレス・エンパイア",,"〒532-0011　大阪市淀川区西中島7-8-17　花原第５ビル９０１号室　　06(6838)2021","[]","[]","http://www.cyberworks.co.jp/","jp","Japan","JP"
,"彩文館出版"," (W98)　光を・・・",,"〒162-0805　東京都新宿区矢来町114　高橋ビル３Ｆ　　03(3235)8071","[]","[]","http://www.saibunkan.co.jp/","jp","Japan","JP"
,"サイベル"," (PS.DC.W98)　センチメンタルグラフティ２",,"〒141-0031　東京都品川区西五反田7-16-1　アーベイン広末ビル２Ｆ　　03(3490)6930","[]","[]","http://www.cybelle.co.jp/","jp","Japan","N/A"
,"サイレンス"," (PS.DC.W98)　ＶＩＰＥＲ",,"〒167-0052　東京都杉並区南荻窪1-22-15　ＳＳビル　　03(5370)7672","[]","[]","http://www.silence.co.jp/","jp","Japan","JP"
,"ザウス"," (W98)　Ｅｌｉｓｅ ～エリーゼ～",,"〒111-0034　東京都台東区雷門1-16-4　立花国際ビル６Ｆ　　03(5826)7652","[]","[]","http://www.xuse.co.jp/","jp","Japan","JP"
,"ＳＯＵＮＤ　ｔａｉｌ"," (W98)　カラフルＢＯＸ<br>",,"〒176-0005　東京都練馬区旭丘1-56-1　サンむさしビル2F　03-5988-8952<br><br>","[]","[]","http://www.soundtail.co.jp/","jp","Japan","N/A"
,"サガプラネッツ"," (W98)　罪と罰",,"〒530-0044　大阪市北区東天満2-1-27　東天満パークビル８Ｆ　　06(6355)2001","[]","[]","http://sagaplanets.product.co.jp/","jp","Japan","JP"
,"サクセス"," (PS.PS2.GB.W98.AC)　あのこどこのこ",,"〒141-0031　東京都品川区西五反田7-9-5　成栄ビル２Ｆ・３Ｆ　　03(5740)7600","[]","[]","http://www.success-corp.co.jp/","jp","Japan","JP"
,"サクノス"," (PS.ETC)　クーデルカ",,"〒106-0047　東京都港区南麻布4-5-48　広尾アルファビル３Ｆ　　03(3280)4561","[]","[]","http://www.sacnoth.co.jp/","jp","Japan","N/A"
,"さくらソフト"," (W98)　明日世界が終わる夜に",,"〒660-0077　兵庫県尼崎市大庄西町4-14-8-306","[]","[]","http://homepage1.nifty.com/sakura_soft/sakura/index.htm","com",,"JP"
,"さくらねこ"," (W98)　逢魔ぷち怪討伝",,"〒188-0012　東京都西東京市南町4-10-3　高田ビル201号","[]","[]","http://www.sakuraneko.com/","com",,"US"
,"ＳＵＣＣＵＢＵＳ"," (W98)　new　～メイドさんの学校～<br>",,"〒171-0022　東京都豊島区南池袋3-18-40　SHIMAビル3F<br><br>","[]","['SHIMA']","http://www.succubus.gr.jp/","jp","Japan","N/A"
,"鯖"," (W98)　しるくど～ろ",,"〒183-0036　東京都府中市日新町4-25-10　　042(352)4779","[]","[]","http://saba.to/","to","Tonga","N/A"
,"サミー"," (PS.PS2.DC.GB.N64.W98.AC.ETC)　実戦パチンコ必勝法！",,"〒170-8436　東京都豊島区東池袋2-23-2　　03(5950)3790","[]","[]","http://www.sammy.co.jp/","jp","Japan","JP"
